group	ASD	control	control	ASD	ASD	ASD	ASD	control	ASD	control	control	ASD	ASD	ASD	control
sample	DBYX1FB	DBYX2FB	GCRFB	GJCFB	LQYFB	LXRFB	LYSFB	STFB	TZYFB	XSYFB	YCZFB	ZSXFB	ZYYFB	ZZRFB	ZZXFB
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB3363|s__GGB3363_SGB4447	0.0	0.0	1.37393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	0.0	0.0	1.10471	0.02064	1.82474	0.0	0.0	0.0	0.0	0.0	0.4473	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus	0.0	0.0	0.86189	0.08939	0.39294	0.13226	0.35148	0.82554	0.0	0.0	0.59391	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger|s__Gemmiger_SGB15299	0.0	0.0	0.65458	0.0	0.0	0.0	0.0	0.0	0.0	0.0811	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_sp_AM44_1BH	0.0	0.0	0.57245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_SGB15266	0.0	0.0	0.47148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.0	0.0	0.36303	0.78402	0.31118	0.0	0.0	0.0	0.0	0.07171	0.06657	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Mesosutterella|s__Mesosutterella_multiformis	0.0	0.0	0.27079	0.01664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB79916|s__GGB79916_SGB4587	0.0	0.0	0.2593	0.0063	0.05895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02367
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AM16_25	0.0	0.0	0.16224	0.1539	0.0	0.0	0.58386	0.0	0.0	0.06466	0.0	0.32445	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Waltera|s__Waltera_intestinalis	0.0	0.0	0.13928	0.06458	0.60125	0.0	7.11769	0.76449	0.0	0.0	0.0	0.00558	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT	0.0	0.0	0.11121	0.04408	0.21002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	0.0	0.0	0.08492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02537	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_OM07_10AC	0.0	0.0	0.05358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC	0.0	0.0	0.03742	0.34023	0.01373	0.08945	0.06459	0.04467	0.79164	0.01708	0.0	0.04326	0.09787	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256|s__GGB3256_SGB4303	0.0	0.0	0.03742	0.0	1.06238	0.93529	0.0	1.28554	0.0	0.0	0.75429	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Avimonas|s__Candidatus_Avimonas_narfia	0.0	0.0	0.03075	0.0	0.00213	0.01167	0.0	0.0	0.0	0.0	0.00256	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.0	0.0	0.02716	0.0	0.0	0.0	0.0	0.73383	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF20_17LB	0.0	0.0	0.01969	0.007	0.0	0.00271	0.50335	0.00538	0.0	0.00197	0.0	0.04535	0.0	0.46153	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB51959|s__GGB51959_SGB72479	0.0	0.0	0.01538	0.0	0.0	0.0	0.0	0.0	0.0	0.0586	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0.0	0.0	0.01412	0.00116	0.018	0.28948	0.0	0.00161	0.00344	0.00415	0.0	0.01115	0.00096	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_SGB5077	0.0	0.0	0.01234	0.00373	0.0	0.0	0.61598	0.03846	0.00444	0.0	0.0	0.5916	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	0.0	0.0	0.01143	0.0	0.0	1.8251	0.0	0.51895	0.0	0.0	0.0	1.40806	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Murimonas|s__Murimonas_intestini	0.0	0.0	0.00673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_sp_OF01_20	0.0	0.0	0.00636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00354	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Luxibacter|s__Luxibacter_massiliensis	0.0	0.0	0.00525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_glycyrrhizinilyticus	0.0	0.0	0.00417	0.0	0.02416	0.02729	0.13166	0.0331	0.02724	0.07934	0.0	0.0103	0.10651	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_unclassified_SGB4771	0.0	0.0	0.00337	0.01263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0.0	0.0	0.00304	0.0	0.03952	0.0	0.0	0.22158	0.0	0.0	0.01572	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q4143	0.0	0.0	0.00299	0.00455	0.00792	0.0	0.0	0.0	0.0	0.0015	0.0	0.01957	0.0	0.08143	0.0
k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB51510|s__GGB51510_SGB71883	0.0	0.0	0.00205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01127	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB51269|s__GGB51269_SGB5062	0.0	0.0	0.00121	0.0	0.0	0.0	0.0	0.2044	0.0	0.0	0.0	1.13152	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3167|s__GGB3167_SGB4181	0.0	0.0	0.00093	0.00377	0.0	0.0	0.0	0.21601	0.0	0.0	0.0	0.94405	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecicola	0.0	0.0	0.00072	0.0	0.0	0.76394	0.0	0.10077	0.0	0.33769	0.27149	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_VE202_01	0.0	0.0	0.00039	0.0	0.0	0.0	0.0	0.17721	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.0	0.0	0.0	0.0212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.00333	0.0
k__Bacteria|p__Firmicutes|c__CFGB76000	0.0	0.0	0.0	1.79285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2915	0.0	0.0	0.0	0.12167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311	0.0	0.0	0.0	0.11728	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642	0.0	0.0	0.0	0.08057	0.06859	0.0	0.0	0.0321	0.0	0.0	0.02032	0.11024	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0.0	0.0	0.0	0.0212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2954	0.0	0.0	0.0	0.01491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507	0.0	0.0	0.0	0.00695	0.00322	0.0	0.01104	0.0	0.00301	0.02524	0.00187	0.00412	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.00333	0.0
k__Bacteria|p__Firmicutes|c__CFGB2960	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15209	0.0	0.0	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3529	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000	0.0	0.0	0.0	1.79285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.0	0.0	0.0	0.71604	0.17904	0.0	0.0	0.0	0.0	0.0	0.08136	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	0.0	0.0	0.0	0.12167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	0.0	0.0	0.0	0.11728	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	0.0	0.0	0.0	0.08057	0.06859	0.0	0.0	0.0321	0.0	0.0	0.02032	0.11024	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	0.0	0.0	0.0	0.0212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	0.0	0.0	0.0	0.01491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	0.0	0.0	0.0	0.00695	0.00322	0.0	0.01104	0.0	0.00301	0.02524	0.00187	0.00412	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	0.0	0.0	0.0	0.00437	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.00333	0.0
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209	0.0	0.0	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000|f__FGB76000	0.0	0.0	0.0	1.79285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	0.0	0.0	0.0	0.72072	1.64812	0.0	0.0	0.0	0.0	0.13608	2.05369	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	0.0	0.0	0.0	0.71604	0.17904	0.0	0.0	0.0	0.0	0.0	0.08136	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915|f__FGB2915	0.0	0.0	0.0	0.12167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311|f__FGB1311	0.0	0.0	0.0	0.11728	0.0	0.00016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	0.0	0.0	0.0	0.08057	0.06859	0.0	0.0	0.0321	0.0	0.0	0.02032	0.11024	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	0.0	0.0	0.0	0.0212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954	0.0	0.0	0.0	0.01491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507	0.0	0.0	0.0	0.00695	0.00322	0.0	0.01104	0.0	0.00301	0.02524	0.00187	0.00412	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	0.0	0.0	0.0	0.00437	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	0.0	0.00333	0.0
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960|f__FGB2960	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209|f__FGB15209	0.0	0.0	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529|f__FGB3529	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000|f__FGB76000|g__GGB4271	0.0	0.0	0.0	1.79285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	0.0	0.0	0.0	0.72072	1.64812	0.0	0.0	0.0	0.0	0.13608	1.96451	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747	0.0	0.0	0.0	0.71604	0.17904	0.0	0.0	0.0	0.0	0.0	0.08136	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4554	0.0	0.0	0.0	0.4587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4605	0.0	0.0	0.0	0.41679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4597	0.0	0.0	0.0	0.13726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915|f__FGB2915|g__GGB36267	0.0	0.0	0.0	0.12167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311|f__FGB1311|g__GGB3142	0.0	0.0	0.0	0.11728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus	0.0	0.0	0.0	0.1105	0.3008	0.0	0.0	0.0	0.0	0.0	0.03737	0.0	0.07082	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB540|o__OFGB540|f__FGB540|g__GGB79998	0.0	0.0	0.0	0.11011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758	0.0	0.0	0.0	0.08057	0.03576	0.0	0.0	0.02533	0.0	0.0	0.01248	0.11024	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713	0.0	0.0	0.0	0.06702	0.0	0.0	0.0	0.0	0.0	0.0	0.18578	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB13493	0.0	0.0	0.0	0.03758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3619	0.0	0.0	0.0	0.02675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708	0.0	0.0	0.0	0.02363	0.32719	0.0	0.0	0.00287	0.0	0.0	0.03529	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB33586	0.0	0.0	0.0	0.02193	0.02676	0.0	0.0	0.0	0.0	0.0	0.01994	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis	0.0	0.0	0.0	0.0212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566	0.0	0.0	0.0	0.01692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954|f__FGB2954|g__GGB9296	0.0	0.0	0.0	0.01491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4599	0.0	0.0	0.0	0.01464	0.0	0.0	0.0	0.02933	0.0	0.0	0.04701	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635	0.0	0.0	0.0	0.01434	0.0	0.0	0.0	0.0	0.0	0.0	0.06108	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB9819	0.0	0.0	0.0	0.0124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9061	0.0	0.0	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3627	0.0	0.0	0.0	0.01105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9646	0.0	0.0	0.0	0.01043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB79734	0.0	0.0	0.0	0.01008	0.06483	0.0	0.0	0.06733	0.0	0.0	0.00232	0.14324	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3632	0.0	0.0	0.0	0.00726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507|f__FGB1507|g__GGB3819	0.0	0.0	0.0	0.00695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae|g__Methylobacterium	0.0	0.0	0.0	0.00437	0.0	0.0	0.0	0.0	0.0	0.0	0.00383	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9237	0.0	0.0	0.0	0.00422	0.0	0.0	0.0	0.01878	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__GGB4555	0.0	0.0	0.0	0.00404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33928	0.0	0.0	0.0	0.00173	0.03443	0.0	0.0	0.0	0.0	0.0	0.01393	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__GGB79930	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9618	0.0	0.0	0.0	0.00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960|f__FGB2960|g__GGB9302	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209|f__FGB15209|g__GGB9293	0.0	0.0	0.0	0.00071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529|f__FGB3529|g__GGB3570	0.0	0.0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A	0.0	0.0	0.0	31.19803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25741	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB76000|o__OFGB76000|f__FGB76000|g__GGB4271|s__GGB4271_SGB5817	0.0	0.0	0.0	1.79285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_SGB6473	0.0	0.0	0.0	1.33842	0.06572	0.0	0.0	0.0	0.0	0.0	0.39392	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar	0.0	0.0	0.0	1.0558	0.0	0.0	0.0	0.0	0.0	0.29008	0.1331	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	0.0	0.0	0.0	1.05286	0.0	0.75748	0.0	0.0	0.0	0.13579	0.95828	0.0	0.17021	0.0	0.0
