group	ASD	control	control	ASD	ASD	ASD	ASD	control	ASD	control	control	ASD	ASD	ASD	control
sample	DBYX1FB	DBYX2FB	GCRFB	GJCFB	LQYFB	LXRFB	LYSFB	STFB	TZYFB	XSYFB	YCZFB	ZSXFB	ZYYFB	ZZRFB	ZZXFB
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	1.18675	0.29751	0.0	0.05847	0.23408	0.0	0.0	0.0	0.0	0.59212	0.51513	0.0	0.0219	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	1.08137	5.08081	1.49712	0.8465	2.47245	1.09464	3.84092	6.40948	2.4628	4.32177	1.07079	1.35825	0.0	7.08527	6.17171
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium	0.94207	0.01877	0.04438	0.04299	0.08557	0.24325	0.21573	0.10878	0.12614	0.00887	0.0	0.04536	0.03533	0.0	0.00526
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	0.862	4.21412	0.70951	0.24525	3.3991	0.0	0.10869	1.10119	1.22617	4.52744	13.74195	0.46369	5.98433	0.0	5.80627
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum	0.8518	0.12692	0.28528	0.27761	0.31466	0.0201	0.02375	0.62948	1.81366	0.81779	0.11708	0.51206	0.0	0.0	0.37485
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3278	0.7755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52744	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	0.70648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89455	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	0.5498	0.07273	1.77675	1.78759	1.42245	1.22011	0.53122	1.76637	0.0	0.19903	1.38072	0.50535	0.23348	0.0	0.9955
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira	0.51445	0.67502	0.21104	0.77517	0.65103	0.0	3.91249	0.04406	0.04314	0.00237	0.01935	3.91062	0.0	0.86372	0.01927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified	0.47556	1.31357	0.15441	0.3692	0.75671	0.11174	0.40429	1.14776	0.4326	0.36156	0.00412	1.25607	0.0	0.0	1.06961
