clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Bacteroidetes;c__CFGB76082;o__OFGB76082;f__FGB76082	0.0	0.0	0.0	0.06607	0.00482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76331;o__OFGB76331;f__FGB76331	0.0	0.0	0.0	0.05678	0.07013	0.0	0.13767	0.83962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05226
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0	0.0	0.0	0.05228	0.05787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00545
k__Bacteria;p__Fusobacteria;c__CFGB76370;o__OFGB76370;f__FGB76370	0.0	0.0	0.0	0.04755	0.0378	0.0	0.01093	0.0	0.42639	0.0	0.0676	0.0	0.91736	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76132;o__OFGB76132;f__FGB76132	0.0	0.0	0.0	0.02576	0.0	0.0	0.0	0.28289	0.0	0.0	0.0	0.0	0.00355	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76600;o__OFGB76600;f__FGB76600	0.0	0.0	0.0	0.01396	0.01814	0.0	0.0	0.0	0.0414	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76329;o__OFGB76329;f__FGB76329	0.0	0.0	0.0	0.00711	0.02805	0.0	0.0	0.01403	0.00499	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae	0.0	0.0	0.0	0.00512	0.01161	0.0	0.0	0.0	0.03328	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76459;o__OFGB76459;f__FGB76459	0.0	0.0	0.0	0.00454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae	0.0	0.0	0.0	0.00277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB72939;o__OFGB72939;f__FGB72939	0.0	0.0	0.0	0.0	0.0	0.1477	0.0	0.20641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76352;o__OFGB76352;f__FGB76352	0.0	0.0	0.0	0.0	0.0	0.01536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76248;o__OFGB76248;f__FGB76248	0.0	0.0	0.0	0.0	0.0	0.00297	0.14156	0.0	0.0	0.08966	0.0	0.0	0.0	0.0	0.11887	0.00586
k__Bacteria;p__Firmicutes;c__CFGB1362;o__OFGB1362;f__FGB1362	0.0	0.0	0.0	0.0	0.0	0.0	0.05754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB76483;o__OFGB76483;f__FGB76483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11547	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08886	0.0	0.0	0.0	0.00252	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76110;o__OFGB76110;f__FGB76110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06569	0.0	0.0	0.0	0.05542	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1507;o__OFGB1507;f__FGB1507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01694	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02568
