clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__CFGB76329	0.0	0.0	0.0	0.00711	0.02805	0.0	0.0	0.01403	0.00499	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Tissierellia	0.0	0.0	0.0	0.00512	0.01161	0.0	0.0	0.0	0.03328	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76459	0.0	0.0	0.0	0.00454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB72939	0.0	0.0	0.0	0.0	0.0	0.1477	0.0	0.20641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76352	0.0	0.0	0.0	0.0	0.0	0.01536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76248	0.0	0.0	0.0	0.0	0.0	0.00297	0.14156	0.0	0.0	0.08966	0.0	0.0	0.0	0.0	0.11887	0.00586
k__Bacteria;p__Firmicutes;c__CFGB1362	0.0	0.0	0.0	0.0	0.0	0.0	0.05754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB76483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11547	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08886	0.0	0.0	0.0	0.00252	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06569	0.0	0.0	0.0	0.05542	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01694	0.0	0.0	0.0
