clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__GGB51102;s__GGB51102_SGB71318	0.28428	0.0	0.0	2.1901	2.9299	0.58262	2.27119	0.22644	2.3954	0.0	0.0	0.0	5.39383	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Allisonella;s__Allisonella_histaminiformans	0.26495	0.0	0.23861	0.0	0.0	0.1143	0.0	0.0	0.1085	0.03552	1.08383	0.06912	0.40049	0.0	0.32824	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified;s__Clostridiaceae_bacterium	0.26427	0.0	0.10599	0.24661	0.2792	0.0	0.00692	1.10374	0.00576	0.12391	0.0	0.0	0.0	0.0	0.27556	0.02439
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium_SGB14781	0.25987	0.01363	0.10007	0.0	0.0	0.72602	0.05265	0.28589	1.52771	0.45128	0.0	0.14103	0.08225	0.08824	1.09385	0.00244
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus;s__Faecalibacillus_intestinalis	0.24335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08449	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB79908;s__GGB79908_SGB47660	0.22591	0.0	0.30583	1.50875	2.16019	2.13035	1.59582	9.18106	0.38378	2.41743	0.0	0.24107	0.04029	0.1975	5.24406	1.86167
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_caecimuris	0.1991	0.20465	3.72624	0.66471	0.93053	2.32474	6.95914	0.77582	2.36446	0.12867	0.77607	1.24556	2.30181	0.55191	1.04024	0.82547
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus_sp_AF21_14LB	0.19293	0.0	0.06259	0.07377	0.13434	0.36282	0.14677	0.27294	0.19661	0.0	0.0	0.03031	0.22333	0.00176	0.04025	0.19739
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_SGB65924	0.17687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26057	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB3579;s__GGB3579_SGB47659	0.16556	0.0	0.0	0.18742	0.30109	0.29225	0.03968	1.60543	0.06766	0.16599	0.0	0.00732	0.00198	0.00035	0.79313	1.02115
