clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Vagococcus	0.0	0.0	0.026	0.03935	0.17333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28282
k__Bacteria;p__Firmicutes;c__CFGB28775;o__OFGB28775;f__FGB28775;g__GGB3511	0.0	0.0	0.02301	0.00275	0.01541	0.10269	0.14426	0.00456	0.02877	0.0	0.0	0.0	0.0363	0.0	0.0	0.04101
k__Bacteria;p__Firmicutes;c__CFGB43318;o__OFGB43318;f__FGB43318;g__GGB48540	0.0	0.0	0.02131	0.10283	0.14409	0.03637	0.42007	0.03898	0.08277	0.0	0.0	0.0	0.0478	0.0	0.01052	0.01927
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__GGB37269	0.0	0.0	0.01617	0.0	0.0	0.0	0.0	0.02135	0.00758	0.0	0.0	0.0	0.0359	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1473;o__OFGB1473;f__FGB1473;g__GGB3730	0.0	0.0	0.01229	0.0	0.0	0.02351	0.0	0.0	0.0273	0.01492	0.05265	0.0	0.00709	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__GGB2738	0.0	0.0	0.01033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Jeotgalibaca	0.0	0.0	0.01007	1.39852	0.44365	0.0	0.09804	0.04407	0.0	0.0	0.0	0.0	0.00081	0.0164	0.00103	3.5768
k__Bacteria;p__Firmicutes;c__CFGB2107;o__OFGB2107;f__FGB2107;g__GGB6020	0.0	0.0	0.00685	0.08197	0.08284	0.0	0.0	0.03859	0.3854	0.0	0.0	0.0	0.17936	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Metalysinibacillus	0.0	0.0	0.00239	0.00893	0.0	0.0	0.0	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.37684
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	0.0	0.0	0.0	6.15551	6.38932	0.0	0.04563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.13937
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacteriaceae_unclassified	0.0	0.0	0.0	4.66799	3.89553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49798
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.0	0.0	0.0	2.45229	0.89583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia	0.0	0.0	0.0	1.61239	1.54479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91932
k__Bacteria;p__Firmicutes;c__CFGB29473;o__OFGB29473;f__FGB29473;g__GGB47957	0.0	0.0	0.0	1.03279	1.21413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0.0	0.0	0.0	0.96578	0.75994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__CFGB76760;o__OFGB76760;f__FGB76760;g__GGB22650	0.0	0.0	0.0	0.94032	0.97884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48227
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070;g__GGB9512	0.0	0.0	0.0	0.57349	1.08708	0.0	0.04879	0.0	0.0	0.0	0.0	0.0	1.78193	0.0	0.0	0.01757
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79384	0.0	0.0	0.0	0.51213	0.64889	0.61683	0.01646	0.0	0.0	0.0	0.0	0.05993	0.05344	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB72809;o__OFGB72809;f__FGB72809;g__GGB29473	0.0	0.0	0.0	0.46131	0.53998	0.0	0.0837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06104
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella	0.0	0.0	0.0	0.42698	0.44415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11272
k__Bacteria;p__Firmicutes;c__CFGB76688;o__OFGB76688;f__FGB76688;g__GGB4250	0.0	0.0	0.0	0.29173	0.16195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified	0.0	0.0	0.0	0.28431	0.36251	0.05545	0.0	0.55059	0.0	0.01673	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75721;o__OFGB75721;f__FGB75721;g__GGB48667	0.0	0.0	0.0	0.25666	0.20909	0.0	0.0	0.03483	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.00991
k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628;f__FGB628;g__GGB1492	0.0	0.0	0.0	0.25606	0.02321	0.0	0.0	0.0	0.14721	0.0	0.0	0.0	0.12185	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Peptostreptococcus	0.0	0.0	0.0	0.20807	0.31089	0.0	0.2492	0.0	0.09105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
