clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Cryobacterium	0.04732	0.81938	0.0	0.05617	0.45802	0.26617	0.2533	0.111	0.02022	0.36309	0.0	0.07493	0.24793	0.113	0.0	6.16825	1.31657	3.44647	0.7881	0.96764	1.73187	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter	0.04339	0.0	0.09617	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64975	0.01509	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea	0.04188	0.0	0.0	0.22491	0.46426	0.01544	0.13382	0.17908	0.0032	0.0	0.0	0.00189	0.19446	0.0	0.32693	0.0	0.0	0.0	0.0	0.0	0.0	0.13756	0.0
k__Bacteria;p__Actinobacteria;c__CFGB2987;o__OFGB2987;f__FGB2987;g__GGB9359	0.04171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	0.03492	0.0	2.6866	0.02869	7.50568	0.0	8.77562	35.25005	0.0	0.0	0.0	66.28746	8.71544	2.2177	0.14386	0.12646	0.0	0.90688	0.0	0.27889	1.57086	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lacrimispora	0.02954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB34476	0.02766	0.88617	0.0	1.31881	3.21256	1.26222	1.42736	1.80683	1.24016	0.21407	10.69184	0.20715	0.46374	2.90846	1.67633	0.51145	0.0	0.4145	0.98684	0.0	0.46281	5.68543	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	0.01552	0.09867	9.10223	7.0135	0.12751	1.92489	1.96028	0.0	1.56447	0.46389	0.55662	0.00198	0.0	0.0	0.09182	7.94227	19.26338	12.9757	0.65005	0.97902	12.84878	0.0	4.83903
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified	0.01369	0.53019	0.0	0.21877	0.05788	0.09194	0.22721	0.32851	0.30625	0.0	0.94201	0.31225	0.07618	0.0	0.0	0.0	0.0	0.0	0.52758	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger	0.00848	0.0	0.0	0.73675	0.45596	0.44181	0.06093	0.0	3.02986	0.2361	0.14298	0.0	0.0	0.0977	2.20001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
