clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__CFGB76329;o__OFGB76329	0.0	0.0	0.0	0.75951	0.55197	0.06091	0.05727	0.0	0.31457	0.0	0.0	0.0	0.0	0.0	0.22706	0.0	0.0	0.0	0.09825	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76248;o__OFGB76248	0.0	0.0	0.0	0.70005	0.04803	0.0	0.0	0.0	0.01627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07324	0.0	0.00336	0.0	0.09201	0.0	0.32095
k__Bacteria;p__Proteobacteria;c__CFGB76483;o__OFGB76483	0.0	0.0	0.0	0.49451	0.02264	0.27278	0.00619	0.0	0.27965	0.0	0.28252	0.0	0.0	0.0	0.15636	0.0	0.0	0.0	0.0	0.0	0.19931	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75721;o__OFGB75721	0.0	0.0	0.0	0.46322	1.1431	0.05993	0.43895	0.30942	0.47394	0.0	0.249	0.02632	0.01137	0.0	0.12417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	0.0	0.34441	0.0	0.20198	0.0	0.0	0.09388	0.0	0.0	0.0	0.0	0.0	0.21886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__CFGB48937;o__OFGB48937	0.0	0.0	0.0	0.30179	0.06468	0.0	0.0	0.0	0.0	0.0	0.02514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB43318;o__OFGB43318	0.0	0.0	0.0	0.27408	0.10383	0.16013	0.128	0.0	0.18249	0.0	1.15659	0.0	0.2363	0.02445	0.51426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76102;o__OFGB76102	0.0	0.0	0.0	0.27265	0.04006	0.33119	0.11903	0.0	0.18511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB72939;o__OFGB72939	0.0	0.0	0.0	0.20008	1.9644	0.11681	0.01605	0.0	0.02038	0.0	0.0	0.05463	0.2624	0.0	0.04902	0.0	0.0	0.0	0.00162	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76082;o__OFGB76082	0.0	0.0	0.0	0.12319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1362;o__OFGB1362	0.0	0.0	0.0	0.00178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03104	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1473;o__OFGB1473	0.0	0.0	0.0	0.0	0.0114	0.02805	0.00127	0.0	0.0	0.04474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0.0	0.0	0.0	0.0	0.0	37.00298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	1.10719	0.81615	0.0	0.0	0.0	0.03308	0.0	0.0	0.0	0.01006	0.0	0.0	0.0	0.0	0.00267	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.45451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75522;o__OFGB75522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.30214	2.10617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.01678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB43013;o__OFGB43013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75497;o__OFGB75497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00534	0.0	0.05309	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76110;o__OFGB76110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31319	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB3009;o__OFGB3009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00497	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00657	0.0
