clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.0	0.00177	0.0	0.00182	0.0	0.0	0.0393	0.0	0.0	0.0	0.0	0.00312	0.0	0.0	0.0	0.0	0.0	0.0	0.00598	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0	0.0	3.48963	0.05809	0.0	0.45914	0.07965	5.68796	0.0	0.02408	0.0	4.68183	10.73482	54.29739	0.57563	0.00242	0.0	0.08176	0.03185	1.16274	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.0	0.0	1.59899	0.0	0.0	0.0	0.62122	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	0.0	0.0	0.33173	0.89642	1.35554	0.08828	0.09787	0.0	0.0	0.08411	0.48689	0.0	0.10442	0.02948	0.02359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0	0.0	0.17423	1.73512	0.36441	1.94559	0.10778	0.0	2.09947	25.8738	0.0	0.0	0.5213	4.78897	1.97899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB76748;o__OFGB76748;f__FGB76748	0.0	0.0	0.03959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22665	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__CFGB76370;o__OFGB76370;f__FGB76370	0.0	0.0	0.0	2.79531	0.0941	0.28561	0.12165	0.0	3.5854	0.00898	0.0	0.0	0.02659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0	0.0	0.0	2.40067	0.03185	0.04119	0.0	0.0	0.0978	0.0	0.4944	0.0	0.0	0.0	0.44753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.0	0.0	0.0	1.95116	0.12255	1.36496	0.41399	0.0	0.0	0.0	0.15543	0.0	0.03465	0.0	0.09507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB24868;o__OFGB24868;f__FGB24868	0.0	0.0	0.0	1.35559	0.09852	0.14977	0.0	0.0	0.33029	0.00394	0.01391	0.0	0.0	0.0	0.20833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae	0.0	0.0	0.0	1.29926	7.51814	1.78425	2.03247	0.0	0.38645	0.0	0.33603	6.65347	4.88645	0.49612	2.36495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76132;o__OFGB76132;f__FGB76132	0.0	0.0	0.0	1.26494	0.15929	1.47328	0.11854	0.0	4.46517	0.0	0.20836	0.0	0.01819	0.0	0.58106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070	0.0	0.0	0.0	1.25327	1.39332	0.50451	0.91883	0.0	0.05745	0.0	0.0	0.0	0.0	0.03393	1.37247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
